yas,gelir,toplam_borc,kredi_notu,calisma_suresi,ev_durumu,risk_durumu
56,60094.39,5640.67,317,16,Kiraci,1
46,36346.62,0.0,588,1,Ev Sahibi,0
32,57535.38,14779.88,713,19,Aile,0
60,28054.4,29178.01,534,5,Kiraci,1
25,52947.06,28290.07,715,7,Kiraci,1
38,66623.53,11343.23,798,15,Aile,0
56,15000.0,10182.3,414,18,Aile,1
36,33046.57,18750.19,533,0,Aile,1
40,53656.08,7012.92,839,2,Kiraci,0
28,41954.32,17414.34,310,2,Aile,1
28,50567.19,21128.64,505,4,Aile,1
41,35940.22,24815.47,546,11,Ev Sahibi,1
53,46298.85,14198.77,426,11,Ev Sahibi,1
57,42664.84,13370.61,446,19,Kiraci,1
41,62516.73,7976.14,417,12,Ev Sahibi,1
20,48816.31,8384.96,681,19,Ev Sahibi,0
39,50064.04,13188.17,711,8,Aile,0
19,38821.85,17938.92,662,6,Aile,1
41,37685.91,22308.68,808,3,Ev Sahibi,1
61,38511.63,8574.57,436,18,Ev Sahibi,1
47,50916.78,26941.51,474,21,Ev Sahibi,1
55,38685.23,12831.01,588,18,Kiraci,0
19,49346.62,14829.06,780,5,Kiraci,0
38,76131.01,9022.31,318,12,Kiraci,1
50,58066.87,0.0,494,10,Ev Sahibi,1
29,40109.65,22072.36,629,12,Ev Sahibi,1
39,63018.21,20894.75,474,12,Kiraci,1
61,38878.87,12749.38,748,24,Kiraci,0
42,15000.0,15535.93,653,21,Ev Sahibi,1
44,29878.71,19127.51,798,19,Aile,1
59,16938.12,2499.63,440,14,Kiraci,1
45,39727.3,10767.58,392,20,Ev Sahibi,1
33,45276.28,21354.12,538,12,Ev Sahibi,1
32,70146.56,4965.68,504,21,Aile,1
64,49903.91,17348.46,732,10,Ev Sahibi,0
61,41713.49,4147.35,544,18,Ev Sahibi,1
20,57441.08,18731.44,616,7,Kiraci,0
54,15000.0,14714.87,594,19,Kiraci,1
24,48534.22,2078.95,581,7,Aile,0
38,56562.98,24317.91,316,9,Aile,1
26,22821.21,9123.27,370,15,Ev Sahibi,1
56,62156.31,8517.98,568,18,Kiraci,1
35,50077.45,16604.55,624,22,Aile,0
21,38770.68,24189.1,604,10,Aile,1
42,54491.73,6873.43,750,12,Aile,0
31,79060.39,15493.44,306,8,Ev Sahibi,1
26,47727.99,18430.53,613,19,Kiraci,0
43,48723.31,20544.84,402,23,Aile,1
19,38109.59,16411.53,492,18,Kiraci,1
37,32252.33,12063.78,828,15,Aile,0
45,57455.04,8379.28,470,6,Aile,1
64,32158.74,15689.15,836,18,Kiraci,1
24,46073.49,6422.89,550,11,Kiraci,1
61,37835.14,0.0,686,14,Kiraci,0
25,52184.7,18492.48,506,22,Ev Sahibi,1
64,50004.93,22231.48,840,13,Aile,1
52,60563.1,0.0,715,10,Ev Sahibi,0
31,37349.75,6922.15,679,9,Kiraci,0
34,40951.88,19953.23,443,10,Aile,1
53,30318.54,31459.96,324,5,Ev Sahibi,1
57,38335.6,15166.35,372,1,Aile,1
21,50659.51,9175.98,392,10,Ev Sahibi,1
19,56354.83,13536.83,804,18,Kiraci,0
23,31167.52,25999.01,635,5,Ev Sahibi,1
59,58044.09,9832.29,724,13,Aile,0
21,65334.57,8606.46,798,19,Aile,0
46,51201.52,11138.05,663,5,Aile,0
35,73151.94,7373.37,498,16,Aile,1
43,33393.16,15981.36,712,9,Kiraci,1
61,26330.18,27997.43,638,0,Ev Sahibi,1
51,18319.2,17584.63,728,2,Kiraci,1
27,67440.66,12981.17,438,7,Kiraci,1
53,54815.48,12665.51,841,7,Kiraci,0
31,44166.23,2494.47,356,19,Aile,1
48,49199.53,22064.88,531,21,Aile,1
32,28117.66,14377.3,734,14,Aile,1
25,81686.28,13556.16,683,23,Ev Sahibi,0
31,46938.32,40544.86,493,6,Aile,1
40,46640.92,17390.02,833,10,Ev Sahibi,0
57,55886.5,8985.67,817,6,Aile,0
38,52215.14,11589.14,484,3,Aile,1
33,48358.26,24187.57,591,24,Kiraci,1
62,33142.88,15906.16,634,11,Kiraci,1
35,52072.03,3493.78,415,5,Kiraci,1
64,73230.37,22353.83,348,13,Ev Sahibi,1
41,65181.3,9654.85,381,11,Ev Sahibi,1
43,68897.8,29986.38,632,10,Aile,1
42,37331.76,23640.38,634,18,Ev Sahibi,1
62,30155.93,11421.42,831,20,Aile,0
58,43113.2,25248.13,520,4,Ev Sahibi,1
46,45835.87,15542.84,622,13,Ev Sahibi,0
32,61412.87,21822.19,302,20,Ev Sahibi,1
